mir	disease	causality
hsa-mir-508	Breast Neoplasms	1
hsa-mir-16-1	Leukemia	1
hsa-mir-29a	Colitis, Ulcerative	1
hsa-mir-17	Carcinoma, Hepatocellular	1
hsa-mir-320a	Atherosclerosis	1
hsa-mir-328	Melanoma	1
hsa-mir-26b	Osteosarcoma	1
hsa-mir-34a	Neoplasms	1
hsa-mir-325	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-28	Ischemia	1
hsa-mir-134	Carcinoma, Renal Cell	1
hsa-mir-200b	Diabetes Mellitus, Type 2	1
hsa-mir-21	Hypertension	1
hsa-mir-489	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-101-2	Pancreatic Neoplasms	1
hsa-mir-101-1	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-199b	Thyroid Neoplasms	1
hsa-mir-199a	Glioma	1
hsa-mir-181b	Retinoblastoma	1
hsa-mir-145	Ovarian Neoplasms	1
hsa-mir-342	Obesity	1
hsa-mir-1	Endometrial Neoplasms	1
hsa-mir-223	Sepsis	1
hsa-mir-25	Glioma	1
hsa-mir-203	Prostatic Neoplasms	1
hsa-mir-101	Esophageal Neoplasms	1
hsa-mir-34a	Obesity	1
hsa-mir-126	Carcinoma, Hepatocellular	1
hsa-mir-146a	Gout	1
hsa-mir-29c	Neoplasms	1
hsa-mir-9-3	Colonic Neoplasms	1
hsa-let-7a-1	Colonic Neoplasms	1
hsa-let-7a-1	Lung Neoplasms	1
hsa-mir-19b	Atherosclerosis	1
hsa-let-7f-1	Colonic Neoplasms	1
hsa-let-7f-1	Lung Neoplasms	1
hsa-mir-29b	Glioblastoma	1
hsa-mir-28	Carcinoma, Hepatocellular	1
hsa-mir-15b	Encephalitis Viruses, Japanese	1
hsa-mir-92a	Leukemia, Promyelocytic, Acute	1
hsa-mir-21	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-205	Laryngeal Neoplasms	1
hsa-mir-17	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-31	Myocardial Infarction	1
hsa-mir-34a	Myocardial Infarction	1
hsa-mir-630	Ovarian Neoplasms	1
hsa-mir-1271	Ovarian Neoplasms	1
hsa-mir-542	Osteosarcoma	1
hsa-mir-19a	Diabetes Mellitus	1
hsa-mir-223	Multiple Sclerosis	1
hsa-mir-138	Intervertebral Disc Degeneration	1
hsa-mir-661	Glioma	1
hsa-mir-21	Liver Cirrhosis	1
hsa-mir-302c	Influenza, Human	1
hsa-mir-150	Prostatic Neoplasms	1
hsa-mir-31	Lung Neoplasms	1
hsa-mir-106b	Breast Neoplasms	1
hsa-mir-181a	Uterine Cervical Neoplasms	1
hsa-mir-424	Breast Neoplasms	1
hsa-mir-519	Stomach Neoplasms	1
hsa-mir-19b-1	Colonic Neoplasms	1
hsa-mir-125a	Ovarian Neoplasms	1
hsa-mir-409	Osteosarcoma	1
hsa-mir-192	Choriocarcinoma	1
hsa-mir-122	Carcinoma, Hepatocellular	1
hsa-mir-17	Leukemia	1
hsa-mir-19b	Heart Diseases	1
hsa-mir-615	Carcinoma, Hepatocellular	1
hsa-mir-221	Thyroid Neoplasms	1
hsa-mir-132	Heart Diseases	1
hsa-mir-146a	Sepsis	1
hsa-mir-125a	Myelodysplastic Syndromes	1
hsa-mir-31	Triple Negative Breast Neoplasms	1
hsa-mir-214	Cardiomegaly	1
hsa-mir-200c	Glioma	1
hsa-mir-132	Diabetes Mellitus, Type 2	1
hsa-mir-30	Glioma	1
hsa-mir-92a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-146a	Multiple Myeloma	1
hsa-mir-96	Prostatic Neoplasms	1
hsa-mir-27b	Atherosclerosis	1
hsa-mir-221	Carcinoma, Pancreatic Ductal	1
hsa-mir-92a	Inferior Wall Myocardial Infarction	1
hsa-mir-33a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-17	Macular Degeneration	1
hsa-mir-15b	Leiomyoma	1
hsa-mir-138	Obesity	1
hsa-mir-181a	Keloid	1
hsa-mir-217	Breast Neoplasms	1
hsa-mir-92a	Osteosarcoma	1
hsa-let-7e	Carcinoma, Hepatocellular	1
hsa-mir-130a	Leukemia, Myeloid, Acute	1
hsa-mir-141	Prostatic Neoplasms	1
hsa-mir-200b	Inflammatory Bowel Diseases	1
hsa-mir-520b	Stomach Neoplasms	1
hsa-mir-194	Liver Neoplasms	1
hsa-mir-130b	Urinary Bladder Neoplasms	1
hsa-let-7a-3	Esophageal Neoplasms	1
hsa-mir-9	Liver Cirrhosis	1
hsa-mir-124	Medulloblastoma	1
hsa-mir-519d	Carcinoma, Hepatocellular	1
hsa-mir-129	Medulloblastoma	1
hsa-mir-29a	Diabetic Retinopathy	1
hsa-mir-15b	Multiple Sclerosis	1
hsa-let-7	Pancreatic Neoplasms	1
hsa-mir-15b	Coronary Artery Disease	1
hsa-let-7d	Carcinoma, Renal Cell	1
hsa-mir-134	Stomach Neoplasms	1
hsa-mir-133a	Myocardial Infarction	1
hsa-mir-146a	Diabetes Mellitus	1
hsa-mir-302b	Glioma	1
hsa-mir-143	Osteosarcoma	1
hsa-mir-30a	Hepatitis B	1
hsa-mir-302d	Carcinoma, Hepatocellular	1
hsa-mir-203	Brain Diseases	1
hsa-mir-100	Osteosarcoma	1
hsa-mir-302c	Carcinoma, Renal Cell	1
hsa-mir-137	Melanoma	1
hsa-mir-9	Spinal Cord Injuries	1
hsa-mir-34a	Alzheimer Disease	1
hsa-mir-16	Carcinoma, Hepatocellular	1
hsa-mir-106b	Pre-Eclampsia	1
hsa-mir-7-1	Glioblastoma	1
hsa-mir-302b	Breast Neoplasms	1
hsa-mir-26a	Colorectal Neoplasms	1
