mir	disease	causality
hsa-mir-10a	Glioma	1
hsa-mir-125b-1	Ovarian Neoplasms	1
hsa-mir-181c	Breast Neoplasms	1
hsa-mir-18a	Carcinoma, Hepatocellular	1
hsa-mir-188	Prostatic Neoplasms	1
hsa-mir-125b	Inflammation	1
hsa-mir-15a	Pituitary Neoplasms	1
hsa-mir-182	Colorectal Neoplasms	1
hsa-mir-373	Uterine Cervical Neoplasms	1
hsa-mir-15a	Multiple Myeloma	1
hsa-mir-940	Carcinoma, Pancreatic Ductal	1
hsa-mir-29a	Leukemia, Myeloid, Acute	1
hsa-mir-218	Myxoma	1
hsa-let-7a	Lupus Erythematosus, Systemic	1
hsa-mir-494	Carcinoma, Hepatocellular	1
hsa-mir-125a	Glioma	1
hsa-mir-203	Kidney Neoplasms	1
hsa-mir-124	Esophageal Neoplasms	1
hsa-mir-370	Cholangiocarcinoma	1
hsa-mir-130a	Heart Diseases	1
hsa-mir-145	Carcinoma, Hepatocellular	1
hsa-mir-128	Carcinoma, Hepatocellular	1
hsa-mir-424	Hepatoblastoma	1
hsa-mir-100	Carcinoma, Hepatocellular	1
hsa-mir-34a	Prostatic Neoplasms	1
hsa-mir-204	Prostatic Neoplasms	1
hsa-mir-148a	Ovarian Neoplasms	1
hsa-mir-205	Prostatic Neoplasms	1
hsa-mir-214	Parkinson Disease	1
hsa-mir-498	Ovarian Neoplasms	1
hsa-mir-505	Carcinoma, Hepatocellular	1
hsa-mir-19a	Carcinoma, Renal Cell	1
hsa-mir-9	Melanoma	1
hsa-mir-410	Lung Neoplasms	1
hsa-mir-9	Urinary Bladder Neoplasms	1
hsa-mir-222	Carotid Artery Diseases	1
hsa-mir-30d	Neoplasms	1
hsa-mir-185	Stomach Neoplasms	1
hsa-mir-198	Neoplasms	1
hsa-mir-155	Encephalomyelitis	1
hsa-mir-21	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-145	Atherosclerosis	1
hsa-mir-21	Lung Neoplasms	1
hsa-mir-10a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-21	Cholangiocarcinoma	1
hsa-let-7	Neoplasms	1
hsa-mir-214	Liver Cirrhosis	1
hsa-mir-96	Urinary Bladder Neoplasms	1
hsa-mir-208a	Breast Neoplasms	1
hsa-mir-34a	Cholangiocarcinoma	1
hsa-mir-506	Liver Neoplasms	1
hsa-mir-16	Stomach Neoplasms	1
hsa-mir-155	Graft vs Host Disease	1
hsa-mir-142	Neoplasms	1
hsa-mir-26b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-19b-1	Hematologic Neoplasms	1
hsa-mir-20a	Hematologic Neoplasms	1
hsa-mir-720	Triple Negative Breast Neoplasms	1
hsa-mir-143	Glioblastoma	1
hsa-mir-544a	Stomach Neoplasms	1
hsa-mir-135b	Endometrial Neoplasms	1
