mir	disease	causality
hsa-mir-29a	Glomerulonephritis, IGA	1
hsa-mir-24	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-301a	Lung Neoplasms	1
hsa-mir-101-1	Pancreatic Neoplasms	1
hsa-mir-506	Stomach Neoplasms	1
hsa-mir-215	Hirschsprung Disease	1
hsa-mir-1	Stomach Neoplasms	1
hsa-mir-33a	Osteoarthritis	1
hsa-mir-200c	Carcinoma, Hepatocellular	1
hsa-mir-135b	Glioblastoma	1
hsa-mir-17	Atrial Fibrillation	1
hsa-mir-19a	Atrial Fibrillation	1
hsa-mir-19b-1	Atrial Fibrillation	1
hsa-mir-20a	Atrial Fibrillation	1
hsa-mir-370	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-378	Prostatic Neoplasms	1
hsa-mir-106a	Kidney Neoplasms	1
hsa-mir-133a	Heart Diseases	1
hsa-mir-150	Sepsis	1
hsa-mir-150	Obesity	1
hsa-mir-485	Carcinoma, Hepatocellular	1
hsa-mir-27a	Arthritis, Rheumatoid	1
hsa-mir-320a	Carcinoma, Hepatocellular	1
hsa-mir-29a	Neoplasms	1
hsa-mir-34a	Liver Diseases	1
hsa-let-7f-2	Lung Neoplasms	1
hsa-mir-99a	Thyroid Carcinoma, Anaplastic	1
hsa-mir-126	Asthma	1
hsa-mir-205	Osteoporosis	1
hsa-mir-324	Carcinoma, Hepatocellular	1
hsa-mir-34a	HIV Infections	1
hsa-mir-21	Heart Diseases	1
hsa-mir-335	Gastrointestinal Stromal Tumors	1
hsa-mir-200c	Carcinoma, Renal Cell	1
hsa-mir-638	Stomach Neoplasms	1
hsa-mir-130a	Liver Cirrhosis	1
hsa-mir-92a	Myocardial Reperfusion Injury	1
hsa-mir-17	Myocardial Infarction	1
hsa-mir-137	Osteosarcoma	1
hsa-mir-183	Endometriosis	1
hsa-mir-19b	Graft vs Host Disease	1
hsa-mir-184	Carcinoma, Pancreatic Ductal	1
hsa-mir-193	Stomach Neoplasms	1
hsa-mir-154	Carcinoma, Hepatocellular	1
hsa-mir-25	Choriocarcinoma	1
hsa-mir-182	Hepatitis C	1
hsa-mir-125b	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-381	Kidney Neoplasms	1
hsa-mir-214	Breast Neoplasms	1
hsa-mir-663	Glioblastoma	1
hsa-mir-137	Glioblastoma	1
hsa-mir-505	Endometrial Neoplasms	1
hsa-mir-124	Arbovirus Infections	1
hsa-mir-193a	Osteosarcoma	1
hsa-mir-18a	Urinary Bladder Neoplasms	1
hsa-mir-192	Neoplasms	1
hsa-mir-296	Prostatic Neoplasms	1
hsa-mir-421	Breast Neoplasms	1
hsa-mir-9	Osteosarcoma	1
hsa-mir-146a	Breast Neoplasms	1
hsa-mir-30e	Heart Diseases	1
hsa-mir-144	Diabetic Cardiomyopathies	1
hsa-mir-210	Carcinoma, Hepatocellular	1
hsa-mir-372	Prostatic Neoplasms	1
hsa-mir-1207	Prostatic Neoplasms	1
hsa-mir-522	Carcinoma, Hepatocellular	1
hsa-mir-21	Wound Healing	1
hsa-mir-92b	Carcinoma, Hepatocellular	1
hsa-mir-23a	Diabetes Mellitus, Type 1	1
hsa-mir-382	Prostatic Neoplasms	1
hsa-mir-455	Carcinoma, Hepatocellular	1
