mir	disease	causality
hsa-let-7	Tuberculosis	1
hsa-mir-23a	Prostatic Neoplasms	1
hsa-mir-142	Leukemia, B-Cell	1
hsa-mir-92a-1	Hematologic Neoplasms	1
hsa-mir-29a	Alzheimer Disease	1
hsa-mir-183	Pancreatic Neoplasms	1
hsa-mir-411	Carcinoma, Hepatocellular	1
hsa-mir-143	Neoplasms	1
hsa-mir-200	Lung Neoplasms	1
hsa-mir-30c	Colorectal Neoplasms	1
hsa-mir-139	Neoplasms	1
hsa-mir-29c	Kidney Diseases	1
hsa-mir-34a	Arthritis, Rheumatoid	1
hsa-mir-124-1	Glioma	1
hsa-mir-203	Oral Submucous Fibrosis	1
hsa-mir-144	Stomach Neoplasms	1
hsa-mir-212	Ischemia	1
hsa-mir-126	Liver Cirrhosis	1
hsa-mir-197	Leiomyoma	1
hsa-mir-409	Colorectal Neoplasms	1
hsa-mir-191	Neoplasms	1
hsa-mir-1	Prostatic Neoplasms	1
hsa-mir-300	Osteosarcoma	1
hsa-mir-301a	Pancreatic Neoplasms	1
hsa-mir-199a	Hepatitis C	1
hsa-mir-29a	Pancreatic Neoplasms	1
hsa-mir-375	Osteosarcoma	1
hsa-mir-181	Autism Spectrum Disorder	1
hsa-mir-145	Prostatic Neoplasms	1
hsa-mir-362	Neuroblastoma	1
hsa-mir-424	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-132	Liver Neoplasms	1
hsa-mir-21	Spinal Cord Injuries	1
hsa-mir-373	Osteoarthritis	1
hsa-let-7e	Lung Neoplasms	1
hsa-mir-200a	Neoplasms	1
hsa-mir-182	Uterine Cervical Neoplasms	1
hsa-mir-21	Leukemia, Myeloid, Acute	1
hsa-mir-99b	Colorectal Neoplasms	1
hsa-mir-21	Obesity	1
hsa-mir-761	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-155	Spinal Cord Injuries	1
hsa-mir-34	Hypertension, Pulmonary	1
hsa-mir-155	Inferior Wall Myocardial Infarction	1
hsa-mir-210	Myocardial Infarction	1
hsa-mir-616	Carcinoma, Hepatocellular	1
hsa-mir-222	Neoplasms	1
hsa-mir-451	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	1
hsa-mir-544a	Colorectal Neoplasms	1
hsa-mir-27b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-93	Uterine Cervical Neoplasms	1
hsa-mir-127	Neoplasms	1
hsa-mir-125a	Neoplasms	1
hsa-mir-331	Colorectal Neoplasms	1
hsa-mir-194	Carcinoma, Hepatocellular	1
hsa-mir-127	Obesity	1
hsa-mir-140	Lung Neoplasms	1
hsa-mir-1246	Uterine Cervical Neoplasms	1
hsa-mir-486	Ovarian Neoplasms	1
hsa-mir-184	Carcinoma, Squamous Cell	1
hsa-mir-130b	Pulmonary Fibrosis	1
hsa-mir-92a-1	Neoplasms	1
hsa-mir-19b-1	Burkitt Lymphoma	1
hsa-mir-205	Stomach Neoplasms	1
hsa-mir-296	Ovarian Neoplasms	1
hsa-mir-92a	Leukemia, Erythroblastic, Acute	1
hsa-mir-106b	Carcinoma, Hepatocellular	1
hsa-mir-152	Breast Neoplasms	1
hsa-mir-9	Leukemia	1
hsa-mir-222	Carcinoma, Hepatocellular	1
hsa-mir-15a	Endometriosis	1
hsa-mir-410	Colorectal Neoplasms	1
hsa-mir-224	Uterine Cervical Neoplasms	1
hsa-mir-218	Stomach Neoplasms	1
hsa-mir-29	Osteosarcoma	1
hsa-mir-421	Osteosarcoma	1
hsa-mir-509	Stomach Neoplasms	1
hsa-mir-144	Carcinoma, Renal Cell	1
hsa-mir-222	Breast Neoplasms	1
hsa-mir-146a	Alzheimer Disease	1
hsa-mir-92a	Glioma	1
hsa-mir-9	Influenza, Human	1
hsa-mir-181a	Atherosclerosis	1
hsa-mir-125b	Retinoblastoma	1
hsa-mir-15b	Neoplasms	1
hsa-mir-130a	Prostatic Neoplasms	1
hsa-mir-34c	Lung Neoplasms	1
hsa-let-7e	Hypertrophy	1
hsa-mir-194	Psoriasis	1
hsa-mir-34b	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-194	Glioma	1
hsa-mir-181	Osteoarthritis	1
hsa-mir-146a	Stroke	1
hsa-mir-206	Ovarian Neoplasms	1
hsa-mir-122	Carcinoma, Renal Cell	1
hsa-mir-758	Atherosclerosis	1
hsa-mir-144	Influenza, Human	1
hsa-mir-26a	Graft vs Host Disease	1
hsa-mir-195	Colorectal Neoplasms	1
hsa-mir-590	Colorectal Neoplasms	1
hsa-mir-217	Triple Negative Breast Neoplasms	1
hsa-mir-1202	Glioma	1
hsa-mir-9	Inflammation	1
hsa-mir-130a	Hypertension, Pulmonary	1
hsa-mir-181a	Stroke	1
hsa-mir-26a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-146b	Colorectal Neoplasms	1
hsa-mir-375	Esophageal Neoplasms	1
hsa-mir-18a	Stomach Neoplasms	1
hsa-mir-182	Glioma	1
hsa-mir-26a	Lymphoma, Large B-Cell, Diffuse	1
hsa-mir-133b	Lung Neoplasms	1
hsa-mir-452	Carcinoma, Non-Small-Cell Lung	1
hsa-let-7b	Carcinoma, Hepatocellular	1
hsa-mir-378	Colonic Neoplasms	1
