mir	disease	causality
hsa-mir-16-1	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-125b-1	Urinary Bladder Neoplasms	1
hsa-mir-212	Glioblastoma	1
hsa-mir-16-1	Pituitary Neoplasms	1
hsa-mir-124	Spondylitis, Ankylosing	1
hsa-mir-15a	Breast Neoplasms	1
hsa-mir-125b	Arteriosclerosis Obliterans	1
hsa-mir-377	Carcinoma, Hepatocellular	1
hsa-mir-146b	Gallbladder Neoplasms	1
hsa-mir-224	Meningioma	1
hsa-mir-218-1	Urinary Bladder Neoplasms	1
hsa-mir-1-2	Myotonic Dystrophy	1
hsa-mir-135a-2	Medulloblastoma	1
hsa-mir-145	Myelodysplastic Syndromes	1
hsa-mir-18a	Musculoskeletal Abnormalities	1
hsa-mir-200a	Colorectal Neoplasms	1
hsa-mir-191	Endometriosis	1
hsa-mir-101-2	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-34c	Endometrial Neoplasms	1
hsa-mir-211	Carcinoma, Hepatocellular	1
hsa-mir-29b-2	Muscular Dystrophy, Duchenne	1
hsa-mir-96	Pancreatic Neoplasms	1
hsa-mir-205	Melanoma	1
hsa-mir-21	Lymphoma, B-Cell	1
hsa-mir-193a	Inflammatory Bowel Diseases	1
hsa-mir-330	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-21	Reperfusion Injury	1
hsa-mir-125b	Liver Neoplasms	1
hsa-mir-21	Hypertension, Pulmonary	1
hsa-mir-125b	Multiple Myeloma	1
hsa-mir-582	Carcinoma, Hepatocellular	1
hsa-mir-133a	Hypertrophy	1
hsa-mir-16-1	Ovarian Neoplasms	1
hsa-mir-26b	Prostatic Neoplasms	1
hsa-let-7b	Colonic Neoplasms	1
hsa-mir-221	Atherosclerosis	1
hsa-let-7d	Lung Neoplasms	1
hsa-let-7f-2	Colonic Neoplasms	1
hsa-mir-16-1	Prostatic Neoplasms	1
hsa-mir-206	Coronary Artery Disease	1
hsa-mir-124-1	Neuroblastoma	1
hsa-mir-122	Hepatitis C	1
hsa-mir-1297	Carcinoma, Hepatocellular	1
hsa-mir-150	Leukemia	1
hsa-mir-204	Neoplasms	1
hsa-mir-21	Glioblastoma	1
hsa-mir-221	Arthritis, Rheumatoid	1
hsa-mir-128	Colorectal Neoplasms	1
hsa-mir-21	Colorectal Neoplasms	1
hsa-mir-21	Myocardial Reperfusion Injury	1
hsa-mir-449a	Glioma	1
hsa-mir-128	Myocardial Reperfusion Injury	1
hsa-mir-183	Lung Neoplasms	1
hsa-mir-96	Cardiomegaly	1
hsa-mir-625	Breast Neoplasms	1
hsa-mir-17	Lung Neoplasms	1
hsa-mir-133	Arbovirus Infections	1
hsa-mir-19b-1	Lung Neoplasms	1
hsa-mir-210	Sepsis	1
hsa-mir-21	Corneal Dystrophies, Hereditary	1
hsa-mir-133b	Liver Neoplasms	1
hsa-mir-200a	Prostatic Neoplasms	1
hsa-mir-98	Alzheimer Disease	1
hsa-mir-19a	Leukemia, B-Cell	1
hsa-mir-98	Osteoarthritis	1
hsa-mir-19b	Breast Neoplasms	1
hsa-mir-21	Stomach Neoplasms	1
hsa-mir-433	Ovarian Neoplasms	1
hsa-mir-206	Cardiomegaly	1
hsa-mir-320	Osteosarcoma	1
hsa-mir-196a	Carcinoma, Hepatocellular	1
hsa-mir-20a	Tuberculosis	1
hsa-mir-16	Colorectal Neoplasms	1
hsa-mir-183	Breast Neoplasms	1
hsa-mir-212	Carcinoma, Pancreatic Ductal	1
hsa-mir-98	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-143	Uterine Cervical Neoplasms	1
hsa-mir-367	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-382	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-155	Reperfusion Injury	1
hsa-mir-146a	Atherosclerosis	1
hsa-mir-10a	Leukemia, Myeloid, Acute	1
hsa-mir-107	Acute Kidney Injury	1
hsa-let-7a-2	Colorectal Neoplasms	1
hsa-mir-92a-1	Carcinoma, Hepatocellular	1
hsa-mir-590	Breast Neoplasms	1
hsa-mir-155	Stomach Neoplasms	1
hsa-mir-148a	Endometrial Neoplasms	1
hsa-mir-486	Breast Neoplasms	1
hsa-mir-133b	Stomach Neoplasms	1
hsa-mir-21	Atherosclerosis	1
hsa-mir-221	Chemical and Drug Induced Liver Injury	1
hsa-mir-148b	Inferior Wall Myocardial Infarction	1
hsa-mir-155	Arthritis	1
hsa-mir-17	Melanoma	1
hsa-mir-455	Prostatic Neoplasms	1
hsa-mir-122	Liver Neoplasms	1
hsa-mir-29b	Prostatic Neoplasms	1
hsa-mir-181a	Glioblastoma	1
hsa-mir-27b	Cardiovascular Diseases	1
hsa-mir-494	Intervertebral Disc Degeneration	1
hsa-mir-409	Breast Neoplasms	1
hsa-mir-138	Laryngeal Neoplasms	1
hsa-mir-495	Pre-Eclampsia	1
hsa-mir-215	Ovarian Neoplasms	1
hsa-mir-136	Stomach Neoplasms	1
hsa-mir-125b	Osteosarcoma	1
hsa-mir-340	Breast Neoplasms	1
hsa-mir-27b	Stomach Neoplasms	1
hsa-mir-195	Laryngeal Neoplasms	1
hsa-mir-200b	Endometriosis	1
hsa-mir-204	Uterine Cervical Neoplasms	1
hsa-mir-149	Carcinoma, Renal Cell	1
hsa-mir-141	Neuroblastoma	1
hsa-mir-29c	Neurilemmoma	1
hsa-mir-199a	Breast Neoplasms	1
hsa-mir-146a	Inflammation	1
hsa-mir-139	Uterine Cervical Neoplasms	1
hsa-mir-150	Non-alcoholic Fatty Liver Disease	1
hsa-mir-199b	Colorectal Neoplasms	1
hsa-mir-146a	Spondylitis, Ankylosing	1
hsa-mir-34b	Acute Lung Injury	1
hsa-mir-497	Osteosarcoma	1
hsa-mir-495	Glioma	1
hsa-mir-18b	Melanoma	1
hsa-mir-410	Breast Neoplasms	1
hsa-mir-126	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-208b	Myocardial Infarction	1
hsa-mir-218	Cardiomyopathy, Hypertrophic	1
