mir	disease	causality
hsa-mir-125b-1	Breast Neoplasms	1
hsa-mir-15b	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-15a	Lymphoma, Mantle-Cell	1
hsa-mir-101-1	Neoplasms	1
hsa-mir-153	Osteosarcoma	1
hsa-mir-153	Breast Neoplasms	1
hsa-mir-19a	Musculoskeletal Abnormalities	1
hsa-mir-19b-1	Musculoskeletal Abnormalities	1
hsa-mir-20a	Musculoskeletal Abnormalities	1
hsa-mir-92a-1	Musculoskeletal Abnormalities	1
hsa-mir-29a	Kidney Diseases	1
hsa-mir-107	Triple Negative Breast Neoplasms	1
hsa-mir-122	Hepatitis B	1
hsa-mir-126	Pancreatic Neoplasms	1
hsa-mir-33b	Breast Neoplasms	1
hsa-mir-126	Heart Diseases	1
hsa-mir-361	Colorectal Neoplasms	1
hsa-mir-448	Carcinoma, Hepatocellular	1
hsa-mir-142	Uterine Cervical Neoplasms	1
hsa-mir-7	Breast Neoplasms	1
hsa-mir-218	Glioblastoma	1
hsa-mir-26b	Obesity	1
hsa-mir-377	Reperfusion Injury	1
hsa-mir-98	Aortic Aneurysm, Abdominal	1
hsa-mir-106b	Giant Cell Tumor of Bone	1
hsa-mir-340	Heart Diseases	1
hsa-mir-423	Glioma	1
hsa-mir-106a	Lung Neoplasms	1
hsa-mir-1-2	Heart Failure	1
hsa-mir-22	Parkinson Disease	1
hsa-mir-495	Medulloblastoma	1
hsa-let-7i	Lung Neoplasms	1
hsa-mir-7	Prostatic Neoplasms	1
hsa-mir-302c	Glioma	1
hsa-mir-124-3	Neuroblastoma	1
hsa-let-7i	Carcinoma, Renal Cell	1
hsa-mir-503	Prostatic Neoplasms	1
hsa-mir-182	Ovarian Neoplasms	1
hsa-mir-145	Cholangiocarcinoma	1
hsa-mir-17	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-140	Colorectal Neoplasms	1
hsa-mir-20a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-506	Colorectal Neoplasms	1
hsa-mir-221	Choriocarcinoma	1
hsa-mir-590	Glioblastoma	1
hsa-mir-376a	Neoplasms	1
hsa-mir-9	Triple Negative Breast Neoplasms	1
hsa-mir-592	Carcinoma, Hepatocellular	1
hsa-mir-21	Melanoma	1
hsa-mir-28	Lymphoma, B-Cell	1
hsa-mir-103a-1	Pain	1
hsa-mir-17	Colonic Neoplasms	1
hsa-mir-19a	Colonic Neoplasms	1
hsa-mir-92a-1	Lung Neoplasms	1
hsa-let-7g	Carcinoma, Non-Small-Cell Lung	1
