mir	disease	causality
hsa-mir-125b-1	Lung Neoplasms	1
hsa-mir-20a	Carcinoma, Hepatocellular	1
hsa-mir-181b-2	Urinary Bladder Neoplasms	1
hsa-mir-31	Ovarian Neoplasms	1
hsa-mir-101-1	Lung Neoplasms	1
hsa-mir-101-2	Lung Neoplasms	1
hsa-mir-29b-1	Kidney Diseases	1
hsa-mir-124-3	Glioma	1
hsa-mir-29c	Muscular Dystrophy, Duchenne	1
hsa-let-7g	Melanoma	1
hsa-mir-101-1	Colonic Neoplasms	1
hsa-mir-203	Melanoma	1
hsa-mir-10a	Neoplasms	1
hsa-mir-92-1	Atrial Fibrillation	1
hsa-mir-150	Myocardial Infarction	1
hsa-let-7a-2	Colonic Neoplasms	1
hsa-let-7c	Colonic Neoplasms	1
hsa-let-7i	Colonic Neoplasms	1
hsa-let-7a-3	Neoplasms	1
hsa-mir-200b	Neoplasms	1
hsa-mir-200c	Neoplasms	1
hsa-mir-221	Carcinoma, Hepatocellular	1
hsa-mir-21	Glioma	1
hsa-mir-17	Multiple Sclerosis	1
hsa-mir-372	Stomach Neoplasms	1
hsa-mir-125b	Melanoma	1
hsa-mir-454	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-214	Melanoma	1
hsa-mir-942	Sarcoma, Kaposi	1
hsa-mir-17	Lymphoma	1
hsa-mir-20a	Colonic Neoplasms	1
hsa-mir-222	Prostatic Neoplasms	1
hsa-mir-26a	Glioblastoma	1
hsa-mir-20a	Burkitt Lymphoma	1
hsa-mir-130a	Ovarian Neoplasms	1
hsa-mir-1	Myocardial Infarction	1
hsa-mir-146b	Inflammation	1
hsa-mir-18a	Leukemia, B-Cell	1
hsa-mir-664	Osteosarcoma	1
hsa-mir-203	Pancreatic Neoplasms	1
hsa-mir-96	Glioma	1
hsa-mir-449a	Hepatitis B	1
hsa-mir-363	Glioma	1
hsa-mir-22	Ovarian Neoplasms	1
hsa-let-7b	Hypertrophy	1
hsa-let-7a-3	Colorectal Neoplasms	1
hsa-mir-142	Stomach Neoplasms	1
hsa-mir-29a	Hypertension	1
hsa-mir-7	Liver Neoplasms	1
hsa-mir-7	Lung Neoplasms	1
hsa-let-7	Stomach Neoplasms	1
hsa-mir-16	Breast Neoplasms	1
hsa-mir-210	Brain Ischemia	1
hsa-mir-506	Breast Neoplasms	1
hsa-mir-152	Uterine Cervical Neoplasms	1
hsa-let-7b	Myocardial Reperfusion Injury	1
hsa-mir-16	Alzheimer Disease	1
hsa-mir-222	Osteoarthritis	1
hsa-mir-192	Carcinoma, Hepatocellular	1
hsa-mir-145	Breast Neoplasms	1
hsa-mir-27b	Prostatic Neoplasms	1
hsa-mir-146a	Glioblastoma	1
hsa-mir-34b	Osteosarcoma	1
hsa-mir-206	Muscular Atrophy	1
hsa-mir-101	Osteosarcoma	1
hsa-mir-138	Osteosarcoma	1
hsa-mir-30a	Stomach Neoplasms	1
hsa-mir-124	Lung Neoplasms	1
hsa-mir-205	Colonic Neoplasms	1
hsa-mir-195	Colonic Neoplasms	1
hsa-mir-218	Pulmonary Disease, Chronic Obstructive	1
hsa-mir-203	Glioblastoma	1
hsa-mir-29b	Wound Healing	1
hsa-mir-509	Lung Neoplasms	1
hsa-mir-370	Stomach Neoplasms	1
hsa-mir-422a	Osteosarcoma	1
hsa-mir-365	Breast Neoplasms	1
hsa-let-7e	Neoplasms	1
hsa-let-7f	Neoplasms	1
hsa-mir-10a	Carcinoma, Hepatocellular	1
hsa-mir-197	Urinary Bladder Neoplasms	1
hsa-mir-101	Carcinoma, Non-Small-Cell Lung	1
hsa-let-7	Leukemia, Myeloid, Acute	1
hsa-mir-23b	Carcinoma, Hepatocellular	1
hsa-mir-223	Lupus Nephritis	1
hsa-mir-372	Pituitary Neoplasms	1
hsa-mir-136	Neuralgia	1
hsa-mir-107	Uterine Cervical Neoplasms	1
hsa-mir-30a	Carcinoma, Hepatocellular	1
hsa-let-7f-2	Neoplasms	1
hsa-mir-17	Neuroblastoma	1
hsa-mir-125b	Medulloblastoma	1
hsa-mir-16	Multiple Myeloma	1
hsa-mir-222	Glioma	1
hsa-mir-193b	Breast Neoplasms	1
hsa-mir-34a	Glioblastoma	1
hsa-mir-19b-2	Leukemia, Myeloid, Acute	1
hsa-mir-451a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-16-1	Laryngeal Neoplasms	1
hsa-mir-204	Endometrial Neoplasms	1
hsa-mir-106a	Breast Neoplasms	1
hsa-mir-191	Stomach Neoplasms	1
hsa-let-7f-1	Endometrial Neoplasms	1
hsa-mir-200c	Endometrial Neoplasms	1
hsa-mir-30c-1	Ovarian Neoplasms	1
hsa-mir-25	Ovarian Neoplasms	1
hsa-mir-31	Glioma	1
hsa-mir-19a	Arthritis, Rheumatoid	1
hsa-mir-30a	Breast Neoplasms	1
hsa-mir-373	Breast Neoplasms	1
hsa-mir-409	Stomach Neoplasms	1
hsa-mir-203	Laryngeal Neoplasms	1
hsa-mir-18a	Leukemia, Lymphocytic, Chronic, B-Cell	1
hsa-mir-25	Thyroid Neoplasms	1
hsa-mir-30d	Thyroid Neoplasms	1
hsa-mir-93	Leiomyoma	1
hsa-mir-23b	Glioblastoma	1
hsa-mir-107	Pituitary Neoplasms	1
hsa-mir-335	Meningioma	1
hsa-mir-370	Leukemia, Myeloid, Acute	1
hsa-mir-16-2	Multiple Myeloma	1
hsa-mir-15a	Neuroblastoma	1
hsa-mir-133b	Urinary Bladder Neoplasms	1
hsa-mir-145	Neuroblastoma	1
hsa-mir-182	Prostatic Neoplasms	1
hsa-mir-16-1	Colorectal Neoplasms	1
hsa-mir-138-2	Ovarian Neoplasms	1
hsa-mir-26a-1	Carcinoma, Hepatocellular	1
hsa-mir-21	Multiple Myeloma	1
hsa-mir-181a	Inflammation	1
hsa-mir-145	Head and Neck Neoplasms	1
hsa-mir-330	Prostatic Neoplasms	1
hsa-mir-133a-1	Osteosarcoma	1
hsa-mir-92a	Neoplasms	1
hsa-mir-205	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-340	Osteosarcoma	1
hsa-mir-205	Wounds and Injuries	1
hsa-mir-221	Gastrointestinal Stromal Tumors	1
hsa-mir-155	Glioma	1
hsa-mir-140	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-331	Glioblastoma	1
hsa-mir-96	Pain	1
