mir	disease	causality
hsa-mir-1236	Carcinoma, Hepatocellular	1
hsa-mir-16-1	Lymphoma	1
hsa-mir-125b-1	Leukemia, B-Cell	1
hsa-mir-15a	Leukemia, B-Cell	1
hsa-mir-664	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-16-1	Lymphoma, Mantle-Cell	1
hsa-mir-1-2	Carcinoma, Hepatocellular	1
hsa-mir-1	Cardiomyopathy, Hypertrophic	1
hsa-mir-135a-1	Medulloblastoma	1
hsa-mir-186	Medulloblastoma	1
hsa-mir-20a	Ovarian Neoplasms	1
hsa-mir-93	Intervertebral Disc Degeneration	1
hsa-mir-133a-1	Breast Neoplasms	1
hsa-mir-129	Carcinoma, Hepatocellular	1
hsa-mir-451	Multiple Myeloma	1
hsa-mir-132	Ischemia	1
hsa-mir-132	Osteosarcoma	1
hsa-mir-429	Carcinoma, Renal Cell	1
hsa-mir-126	Prostatic Neoplasms	1
hsa-mir-218	Urinary Bladder Neoplasms	1
hsa-mir-101	Lung Neoplasms	1
hsa-mir-204	Osteosarcoma	1
hsa-mir-26b	Neoplasms	1
hsa-mir-21	Carcinoma, Hepatocellular	1
hsa-mir-195	Uterine Cervical Neoplasms	1
hsa-mir-138	Psoriasis	1
hsa-mir-17	Thyroid Carcinoma, Anaplastic	1
hsa-mir-374a	Neoplasms	1
hsa-mir-15a	Carcinoma, Non-Small-Cell Lung	1
hsa-mir-139	Lung Neoplasms	1
hsa-let-7a-2	Lung Neoplasms	1
hsa-mir-133a	Uterine Cervical Neoplasms	1
hsa-mir-203	Neuroblastoma	1
hsa-mir-221	Carotid Artery Diseases	1
hsa-mir-20a	Acute Kidney Injury	1
hsa-mir-10b	Myocardial Infarction	1
hsa-mir-150	Carcinoma, Hepatocellular	1
hsa-mir-135b	Atherosclerosis	1
hsa-mir-181b-1	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-138-2	Carcinoma, Renal Cell	1
hsa-mir-17	Medulloblastoma	1
hsa-mir-7	Stomach Neoplasms	1
hsa-mir-411	Rhabdomyosarcoma	1
hsa-mir-208a	Myocardial Infarction	1
hsa-mir-195	Diabetic Cardiomyopathies	1
hsa-mir-34c	Alzheimer Disease	1
hsa-mir-21	Non-alcoholic Fatty Liver Disease	1
hsa-mir-135b	Carcinoma, Hepatocellular	1
hsa-mir-137	Astrocytoma	1
hsa-mir-130b	Carcinoma, Hepatocellular	1
hsa-mir-199a	Pancreatic Neoplasms	1
hsa-mir-181a	Precursor Cell Lymphoblastic Leukemia-Lymphoma	1
hsa-mir-155	Uterine Cervical Neoplasms	1
hsa-mir-204	Esophageal Neoplasms	1
hsa-mir-489	Breast Neoplasms	1
hsa-mir-125	Arbovirus Infections	1
hsa-mir-20a	Lung Neoplasms	1
hsa-mir-9	Diabetic Cardiomyopathies	1
hsa-mir-221	Prostatic Neoplasms	1
hsa-mir-101	Breast Neoplasms	1
hsa-mir-19a	Neoplasms	1
hsa-mir-26a	Carcinoma, Renal Cell	1
hsa-mir-18a	Burkitt Lymphoma	1
hsa-mir-155	Carcinoma, Hepatocellular	1
hsa-mir-17	Musculoskeletal Abnormalities	1
hsa-mir-125b	Leukemia, Myeloid, Acute	1
hsa-mir-301a	Osteosarcoma	1
